"E","S","Stat","Syst","invK","dat"
0.01241,7.58,0.14,0.055,"Yes","Cos00"
0.01255,7.31,0.13,0.055,"Yes","Cos00"
0.01265,7.31,0.14,0.055,"Yes","Cos00"
0.01307,7.36,0.13,0.055,"Yes","Cos00"
0.01383,7.23,0.13,0.055,"Yes","Cos00"
0.0856,7.173,0.50211,0.039,"No","Mol80"
0.146,14.182,0.42545,0.039,"No","Mol80"
0.1736,16.676,0.50027,0.039,"No","Mol80"
0.2056,18.58,0.55739,0.039,"No","Mol80"
0.2196,17.239,0.51717,0.039,"No","Mol80"
0.2336,17.646,0.52937,0.039,"No","Mol80"
0.2668,14.769,0.44306,0.039,"No","Mol80"
0.2964,13.223,0.3967,0.039,"No","Mol80"
0.3088,11.221,0.33662,0.039,"No","Mol80"
0.328,10.157,0.30472,0.039,"No","Mol80"
0.3856,7.3423,0.22027,0.039,"No","Mol80"
0.446,5.0221,0.15066,0.039,"No","Mol80"
0.5064,3.8713,0.11614,0.039,"No","Mol80"
0.5648,2.8857,0.086572,0.039,"No","Mol80"
0.6256,2.337,0.070109,0.039,"No","Mol80"
0.6836,2.0106,0.060317,0.039,"No","Mol80"
0.7504,1.6808,0.050425,0.039,"No","Mol80"
0.8068,1.5528,0.046585,0.039,"No","Mol80"
0.0497,7.24,0.072,0.078,"No","Kra87"
0.05369,7.67,0.077,0.078,"No","Kra87"
0.059,8.4,0.4,0.078,"No","Kra87"
0.05952,7.96,0.08,0.078,"No","Kra87"
0.05966,8.26,0.083,0.078,"No","Kra87"
0.0653,8.6,0.5,0.078,"No","Kra87"
0.083,9.1,0.4,0.078,"No","Kra87"
0.1007,9.9,0.5,0.078,"No","Kra87"
0.1184,11.5,0.6,0.078,"No","Kra87"
0.136,13.1,0.6,0.078,"No","Kra87"
0.1537,16,0.8,0.078,"No","Kra87"
0.1713,17.2,0.9,0.078,"No","Kra87"
0.1344,10.074,0.060443,0.034,"No","Zhi77"
0.1422,12.08,0.072483,0.034,"No","Zhi77"
0.1506,12.544,0.075261,0.034,"No","Zhi77"
0.165,12.375,0.074252,0.034,"No","Zhi77"
0.1677,14.59,0.08754,0.034,"No","Zhi77"
0.1692,15.314,0.091881,0.034,"No","Zhi77"
0.1746,15.76,0.09456,0.034,"No","Zhi77"
0.18,15.987,0.095924,0.034,"No","Zhi77"
0.1854,17.415,0.10449,0.034,"No","Zhi77"
0.1914,18.116,0.1087,0.034,"No","Zhi77"
0.1974,17.763,0.10658,0.034,"No","Zhi77"
0.204,17.728,0.10637,0.034,"No","Zhi77"
0.21,17.825,0.10695,0.034,"No","Zhi77"
0.2247,17.502,0.10501,0.034,"No","Zhi77"
0.24,16.64,0.099841,0.034,"No","Zhi77"
0.252,15.987,0.095923,0.034,"No","Zhi77"
0.2559,15.95,0.095702,0.034,"No","Zhi77"
0.2676,14.505,0.08703,0.034,"No","Zhi77"
0.2736,14.194,0.085162,0.034,"No","Zhi77"
0.2748,14.231,0.085388,0.034,"No","Zhi77"
0.2949,12.757,0.076542,0.034,"No","Zhi77"
0.3186,10.505,0.063032,0.034,"No","Zhi77"
0.3468,9.1881,0.055129,0.034,"No","Zhi77"
0.3822,6.7735,0.040641,0.034,"No","Zhi77"
0.411,5.8631,0.035178,0.034,"No","Zhi77"
0.4314,5.0714,0.030429,0.034,"No","Zhi77"
0.45,4.695,0.02817,0.034,"No","Zhi77"
0.471,4.411,0.026466,0.034,"No","Zhi77"
0.507,3.7614,0.022568,0.034,"No","Zhi77"
0.5466,3.0019,0.018011,0.034,"No","Zhi77"
0.5772,2.9998,0.017999,0.034,"No","Zhi77"
0.6135,2.3643,0.014186,0.034,"No","Zhi77"
0.1527,15.887,0.11559,0.043,"No","Gei99"
0.16446,16.762,0.20681,0.043,"No","Gei99"
0.17622,17.067,0.13776,0.043,"No","Gei99"
0.18804,17.36,0.20387,0.043,"No","Gei99"
0.1899,17.418,0.066959,0.043,"No","Gei99"
0.19986,17.395,0.15533,0.043,"No","Gei99"
0.20166,17.562,0.094571,0.043,"No","Gei99"
0.21174,17.379,0.23166,0.043,"No","Gei99"
0.22356,16.36,0.20661,0.043,"No","Gei99"
0.22548,16.635,0.07031,0.043,"No","Gei99"
0.23736,15.864,0.12357,0.043,"No","Gei99"
0.2493,15.084,0.11842,0.043,"No","Gei99"
0.26124,14.119,0.10117,0.043,"No","Gei99"
0.27318,13.3,0.045523,0.043,"No","Gei99"
0.27462,13.399,0.05223,0.043,"No","Gei99"
0.28512,12.181,0.076976,0.043,"No","Gei99"
0.28656,12.464,0.083235,0.043,"No","Gei99"
0.29706,11.52,0.078651,0.043,"No","Gei99"
0.2985,11.428,0.063897,0.043,"No","Gei99"
0.30894,10.474,0.089604,0.043,"No","Gei99"
0.3105,10.598,0.055349,0.043,"No","Gei99"
0.32244,9.645,0.053435,0.043,"No","Gei99"
0.33438,8.9647,0.033043,0.043,"No","Gei99"
0.34632,8.2734,0.045994,0.043,"No","Gei99"
0.35826,7.6396,0.04065,0.043,"No","Gei99"
0.3702,7.1339,0.044876,0.043,"No","Gei99"
0.38214,6.5708,0.037349,0.043,"No","Gei99"
0.38802,6.3086,0.035649,0.043,"No","Gei99"
0.14682,14.635,0.22239,0.043,"No","Gei99"
0.17016,16.944,0.22923,0.043,"No","Gei99"
0.17796,16.635,0.23348,0.043,"No","Gei99"
0.20916,17.016,0.2226,0.043,"No","Gei99"
0.21696,17.019,0.22109,0.043,"No","Gei99"
0.24042,15.786,0.20954,0.043,"No","Gei99"
0.25218,14.903,0.08126,0.043,"No","Gei99"
0.25422,14.747,0.059155,0.043,"No","Gei99"
0.27174,13.266,0.11105,0.043,"No","Gei99"
0.28554,12.676,0.11537,0.043,"No","Gei99"
0.30294,10.686,0.14289,0.043,"No","Gei99"
0.31686,10.173,0.10692,0.043,"No","Gei99"
0.34818,8.0123,0.082994,0.043,"No","Gei99"
0.37956,6.3943,0.073778,0.043,"No","Gei99"
0.41082,5.3507,0.060356,0.043,"No","Gei99"
